;rev_id;prediction
41215;803641214;Start
41216;803642740;Start
41217;803642957;C
41218;803644025;Stub
41219;803644794;Start
41220;803645146;GA
41221;803645251;Start
41222;803646352;C
41223;803646560;GA
41224;803646673;Start
41225;803646952;C
41226;803647093;Start
41227;803648860;Stub
41228;803650457;Start
41229;803652448;Start
41230;803652453;GA
41231;803652579;Start
41232;803652657;FA
41233;803654190;C
41234;803654496;Stub
41235;803655118;Start
41236;803656387;Start
41237;803657909;Stub
41238;803658297;FA
41239;803658529;C
41240;803660025;Stub
41241;803661441;C
41242;803661752;Stub
41243;803663737;C
41244;803664157;Stub
41245;803664269;Start
41246;803664360;Start
41247;803664814;Stub
41248;803666934;Stub
41249;803669976;Start
41250;803670084;B
41251;803671671;GA
41252;803673359;Start
41253;803673614;Start
41254;803674050;Start
41255;803674587;Start
41256;803674894;Start
41257;803675272;Stub
41258;803675850;C
41259;803676090;FA
41260;803676377;Stub
41261;803676909;C
41262;803677249;Stub
41263;803678388;C
41264;803679888;C
41265;803679942;Stub
41266;803680249;C
41267;803686558;Stub
41268;803691519;Start
41269;803692835;Start
41270;803693853;Start
41271;803695877;Start
41272;803697955;C
41273;803698976;Start
41274;803700720;Start
41275;803705358;Stub
41276;803705974;B
41277;803706243;Stub
41278;803706391;Start
41279;803706453;Stub
41280;803707427;C
41281;803709059;Start
41282;803709392;C
41283;803709580;Start
41284;803709959;Stub
41285;803710066;Stub
41286;803710731;Start
41287;803713107;Start
41288;803713970;Start
41289;803715294;Start
41290;803717504;Stub
41291;803718673;C
41292;803723623;Stub
41293;803724689;C
41294;803727605;Stub
41295;803728999;Start
41296;803729648;C
41297;803730365;C
41298;803730446;Start
41299;803736389;GA
41300;803736821;C
41301;803737342;C
41302;803737361;Start
41303;803737504;C
41304;803737879;B
41305;803738015;C
41306;803739565;Start
41307;803740549;C
41308;803740958;C
41309;803744818;C
41310;803745076;Start
41311;803747175;Start
41312;803747658;B
41313;803747865;Start
41314;803747951;Start
41315;803748036;Stub
41316;803748822;Stub
41317;803749182;Stub
41318;803750637;Stub
41319;803752129;C
41320;803752444;Stub
41321;803753209;C
41322;803753224;C
41323;803753307;C
41324;803753326;C
41325;803753328;Stub
41326;803753330;Stub
41327;803753333;Stub
41328;803753335;Stub
41329;803753339;Stub
41330;803753345;Stub
41331;803753348;Stub
41332;803753354;Start
41333;803753358;Stub
41334;803753359;Stub
41335;803753362;Stub
41336;803753368;Stub
41337;803753370;Stub
41338;803753371;Stub
41339;803753373;Stub
41340;803753375;Stub
41341;803753382;Stub
41342;803753384;Stub
41343;803753390;Stub
41344;803753391;Stub
41345;803753394;Stub
41346;803753396;Stub
41347;803753402;Stub
41348;803753406;Stub
41349;803753414;Stub
41350;803753417;Stub
41351;803753450;B
41352;803753451;Stub
41353;803753795;B
41354;803756073;Start
41355;803756431;Start
41356;803756451;Start
41357;803756614;C
41358;803757524;C
41359;803758944;Start
41360;803759029;Start
41361;803760201;Start
41362;803761597;C
41363;803761719;Start
41364;803764448;Start
41365;803766160;Start
41366;803766771;GA
41367;803767746;Stub
41368;803769154;Stub
41369;803769577;Start
41370;803770181;Stub
41371;803772024;C
41372;803772608;C
41373;803774230;Start
41374;803774981;C
41375;803775010;Start
41376;803775914;C
41377;803776236;Start
41378;803779326;C
41379;803780299;Start
41380;803780975;C
41381;803782080;C
41382;803782291;Start
41383;803782960;C
41384;803783591;C
41385;803784152;C
41386;803784385;-1
41387;803785611;Start
41388;803787494;C
41389;803787562;Start
41390;803789782;FA
41391;803791627;C
41392;803791949;GA
41393;803792208;Stub
41394;803792380;GA
41395;803793256;Stub
41396;803794146;Stub
41397;803794383;Start
41398;803794701;Stub
41399;803794730;Stub
41400;803796234;Stub
41401;803797669;C
41402;803799302;Stub
41403;803800617;Start
41404;803804000;Stub
41405;803808871;Stub
41406;803809615;Start
41407;803810384;Start
41408;803811435;Stub
41409;803811488;Start
41410;803812011;Start
41411;803812055;Start
41412;803813344;Start
41413;803813597;C
41414;803814361;Stub
41415;803815262;C
41416;803815362;C
41417;803815872;Start
41418;803816250;Start
41419;803816260;C
41420;803817290;Start
41421;803818094;Stub
41422;803820918;Start
41423;803821108;C
41424;803821406;Stub
41425;803821448;Start
41426;803822496;B
41427;803823660;Stub
41428;803824042;Stub
41429;803824147;Stub
41430;803825364;Start
41431;803826540;GA
41432;803826668;Start
41433;803826822;C
