;rev_id;prediction
31440;793960068;GA
31441;793961510;Stub
31442;793962376;Stub
31443;793962785;Start
31444;793963147;Start
31445;793963911;Start
31446;793963955;Stub
31447;793964050;Stub
31448;793964197;C
31449;793967062;Stub
31450;793967873;Start
31451;793973066;C
31452;793973758;C
31453;793977966;Start
31454;793979103;Stub
31455;793980522;Start
31456;793983174;Start
31457;793984032;Start
31458;793984123;Start
31459;793985609;C
31460;793986348;Start
31461;793987031;Stub
31462;793989321;Start
31463;793989780;Start
31464;793990027;Start
31465;793991094;C
31466;793991118;Start
31467;793991636;Start
31468;793992057;Stub
31469;793993201;Start
31470;793993568;Stub
31471;793993622;Start
31472;793994990;Start
31473;794006130;Start
31474;794006678;B
31475;794007106;Start
31476;794007220;C
31477;794008342;Start
31478;794011041;Stub
31479;794011113;Start
31480;794018470;Stub
31481;794018978;C
31482;794019405;Start
31483;794022737;C
31484;794022939;Start
31485;794024094;Stub
31486;794024114;C
31487;794028379;Start
31488;794034406;Stub
31489;794035040;Start
31490;794035759;Start
31491;794036436;Start
31492;794037214;Start
31493;794037225;GA
31494;794038141;Start
31495;794038478;Start
31496;794044467;Start
31497;794045587;Start
31498;794046663;Stub
31499;794049614;Stub
31500;794052085;Stub
31501;794053541;Stub
31502;794055123;Start
31503;794055898;Start
31504;794058409;Start
31505;794059560;Stub
31506;794059867;Stub
31507;794060451;C
31508;794063305;Stub
31509;794063460;Start
31510;794063493;Start
31511;794064343;Stub
31512;794066186;Stub
31513;794066887;C
31514;794066906;Start
31515;794066909;Start
31516;794067025;Stub
31517;794067588;Stub
31518;794067637;Stub
31519;794068344;Stub
31520;794068450;Start
31521;794072384;Start
31522;794072920;Stub
31523;794073095;Stub
31524;794073116;Start
31525;794073272;Stub
31526;794073595;Stub
31527;794073712;Start
31528;794076070;Stub
31529;794078237;Stub
31530;794079027;Stub
31532;794080871;Stub
31533;794081016;Stub
31534;794081084;C
31535;794081192;Stub
31536;794082183;GA
31537;794083377;Start
31538;794085589;Start
31539;794087568;Stub
31540;794088033;Stub
31541;794089852;Start
31542;794093862;Stub
31543;794095538;Start
31544;794097978;Start
31545;794098126;C
31546;794098180;Start
31547;794098796;Stub
31548;794099662;Stub
31549;794100172;Start
31550;794102586;Stub
31551;794105374;Start
31552;794109925;Start
31553;794110829;Stub
31554;794111191;Stub
31555;794111827;FA
31556;794111870;Start
31557;794112578;Stub
31558;794116913;C
31559;794118230;C
31560;794119231;Start
31561;794125042;Stub
31562;794129506;Start
31563;794130997;C
31564;794131435;Stub
31565;794134715;Start
31566;794137357;Stub
31567;794142134;Stub
31568;794142352;Start
31569;794143695;C
31570;794144450;C
31571;794146332;Stub
31572;794146543;Stub
31573;794146745;Start
31574;794147777;C
31575;794152030;Start
31576;794153799;Start
31577;794156042;Start
31578;794156547;Stub
31579;794157796;Start
31580;794160019;Stub
31581;794160682;Stub
31582;794163446;Stub
31583;794163805;Stub
31584;794163922;Stub
31585;794163973;Stub
31586;794164823;Start
31587;794167531;Start
31588;794167765;Stub
31589;794167841;Start
31590;794168233;Stub
31591;794170874;Start
31592;794171049;Stub
31593;794171939;Start
31594;794174191;Stub
31595;794176429;Start
31596;794176941;Stub
31597;794181900;Start
31598;794183864;Start
31599;794184237;Stub
31600;794184255;Stub
31601;794184656;Start
31602;794185739;Start
31603;794185774;C
31604;794185864;Stub
31605;794186103;Start
31606;794186162;Start
31607;794186289;C
31608;794189132;Stub
31609;794189728;Start
31610;794189770;Stub
31611;794189926;Start
31612;794193433;Start
31613;794194775;Stub
31614;794194807;Start
31615;794196281;Start
31616;794197152;Start
31617;794198691;Start
31618;794200311;C
31619;794200787;Start
31620;794200840;Stub
31621;794201364;Stub
31622;794201626;Start
31623;794201756;Start
31624;794202189;Start
31625;794203991;Start
31626;794204619;Start
31627;794205529;Stub
31628;794206406;Stub
31629;794209132;Stub
31630;794209191;Start
31631;794209319;Start
31632;794209686;Stub
31633;794211700;Start
31634;794211790;C
31635;794213425;Stub
31636;794215210;Stub
31637;794215943;Stub
31638;794217088;Start
31639;794220516;Start
31640;794222007;Stub
31641;794222645;Start
31642;794224855;Stub
31643;794226646;Stub
31644;794228811;C
31645;794233552;C
31646;794233789;Start
31647;794235764;Start
31648;794237422;Stub
31649;794239262;Start
31650;794240827;Stub
31651;794242364;C
31652;794242730;Stub
31653;794244715;B
31654;794247082;C
31655;794251917;Start
31656;794253643;Start
31657;794253788;Start
31658;794257470;Stub
31659;794257806;Start
31660;794262126;Stub
31661;794262328;Stub
31662;794264967;C
31663;794265078;C
31664;794265900;C
31665;794272875;Start
31666;794273071;Start
31667;794274189;C
31668;794278475;B
31669;794283240;Start
31670;794283946;Stub
31671;794286181;Start
31672;794287186;C
31673;794288916;Stub
31674;794289364;Start
31675;794291032;Start
31676;794291790;Stub
31677;794292799;Start
31678;794297309;Stub
31679;794298637;Stub
31680;794302696;Stub
31681;794303593;Start
31682;794306094;Start
31683;794306484;Start
31684;794311690;Start
31685;794311724;-1
31686;794312957;C
31687;794326859;C
31688;794330078;C
31689;794331202;Start
31690;794333284;Stub
31691;794334554;C
31692;794337068;Start
31693;794337505;Start
31694;794338840;Start
31695;794339070;Stub
31696;794344917;Stub
31697;794346758;Start
31698;794349219;Stub
31699;794351580;Stub
31700;794356441;B
31701;794356814;Stub
31702;794357721;C
31703;794358132;Stub
31704;794363929;C
31705;794368882;Start
31706;794370661;Stub
31707;794373881;Stub
31708;794374330;C
31709;794375770;Start
31710;794376714;Start
31711;794379535;C
31712;794381535;B
31713;794381842;Start
31714;794382149;C
31715;794382528;Stub
